partID,anomaly,part_id,surface_roughness,parallelism,groove_depth,groove_diameter,que
121501,0,121504,2.503,0.03,0.781,-0.0355,0
121503,0,121602,1.953,0.025,0.788,-0.0265,0
121504,0,121603,2.256,0.036,0.78,-0.026,0
121602,0,121604,2.187,0.0205,0.788,-0.026,0
121603,0,121701,1.926,0.0275,0.783,-0.035,0
121604,0,121702,1.964,0.05,0.78,-0.0355,0
121701,0,121703,2.497,0.0145,0.804,-0.032,0
121702,0,121704,2.394,0.02,0.805,-0.034,0
121703,0,121801,2.142,0.0335,0.779,-0.034,0
121704,0,121802,1.908,0.0325,0.783,-0.034,0
121801,0,121803,2.526,0.0265,0.805,-0.0325,0
121802,0,121804,2.037,0.0195,0.812,-0.032,0
121803,0,121901,2.268,0.0385,0.785,-0.034,0
121804,0,122002,2.184,0.021,0.808,-0.0315,0
121901,0,122003,2.456,0.0325,0.807,-0.034,0
122002,0,122004,2.783,0.07,0.813,-0.032,0
122003,0,122101,1.848,0.029,0.78,-0.0255,0
122004,0,122104,2.737,0.0155,0.808,-0.0305,0
122101,0,122202,2.384,0.0185,0.811,-0.0305,0
122104,0,122301,1.831,0.034,0.782,-0.022,0
122202,0,122303,2.786,0.0175,0.809,-0.033,0
122301,0,122304,2.692,0.0275,0.807,-0.032,0
122303,0,122401,2.272,0.036,0.776,-0.034,0
122304,0,122402,2.808,0.0265,0.801,-0.029,0
122401,0,122403,2.056,0.024,0.814,-0.032,0
122402,0,122501,2.212,0.037,0.787,-0.0265,0
122403,0,122601,2.501,0.396,0.762,-0.0375,0
122501,0,122603,2.539,0.034,0.813,-0.0335,0
122601,2,122604,2.65,0.022,0.808,-0.034,0
122703,0,122701,2.042,0.042,0.782,-0.0255,0
122604,0,122702,2.243,0.0175,0.801,-0.0325,0
122701,0,122703,2.639,0.025,0.807,-0.036,0
122603,0,122704,2.583,0.029,0.81,-0.0355,0
122702,0,122802,2.489,0.0445,0.808,-0.0315,0
122704,0,122803,2.696,0.021,0.807,-0.0315,0
122802,0,122804,2.839,0.0255,0.799,-0.0365,0
122803,0,122901,6.38,0.061,0.778,-0.0405,0
122804,0,122902,3.696,0.134,0.798,-0.0395,0
122901,1,122903,5.879,0.155,0.786,-0.0505,0
122902,1,122904,4.213,0.079,0.78,-0.0455,0
122903,1,123004,6.98,0.049,0.785,-0.037,0
122904,1,123101,7.983,0.111,0.77,-0.0435,0
123004,1,123102,3.522,0.082,0.782,-0.042,0
123101,1,123103,6.463,0.094,0.793,-0.052,0
123102,1,123202,6.63,0.068,0.771,-0.043,0
123103,1,123301,6.394,0.094,0.772,-0.0455,0
123202,1,123302,6.165,0.234,0.781,-0.0505,0
123301,1,123303,6.035,0.117,0.795,-0.046,0
123302,1,123304,6.543,0.044,0.776,-0.0415,0
123303,1,123402,6.731,0.28,0.783,-0.0435,0
123304,1,123403,6.651,0.04,0.765,-0.0245,0
123402,1,123502,6.345,0.107,0.777,-0.0395,0
123403,1,123503,4.509,0.19,0.758,-0.0425,0
123502,1,123504,7.013,0.061,0.783,-0.0465,0
123503,1,123601,6.386,0.161,0.767,-0.049,0
123504,1,123603,6.895,0.101,0.768,-0.035,0
123601,1,123604,6.786,0.051,0.779,-0.0415,0
123603,1,123701,6.858,0.08,0.776,-0.0475,0
123604,1,123702,6.745,0.054,0.781,-0.047,0
123701,1,123703,6.79,0.048,0.783,-0.0455,0
123702,1,123801,6.436,0.143,0.775,-0.0135,0
123703,1,123802,6.68,0.045,0.774,-0.039,0
123801,1,123901,6.754,0.045,0.795,-0.0525,0
123802,1,123903,7.005,0.179,0.797,-0.044,0
123901,1,124002,3.172,0.0502,0.793,-0.0235,0
123903,1,124003,2.598,0.0638,0.776,-0.039,0
124002,1,124102,4.191,0.0672,0.807,-0.0385,0
124003,1,124103,2.683,0.0864,0.798,-0.0425,0
124102,1,124104,3.401,0.0358,0.795,-0.036,0
124103,1,124201,2.232,0.0386,0.792,-0.0375,0
124104,1,124203,3.741,0.0265,0.797,-0.0305,0
124201,1,124204,3.999,0.124,0.802,-0.0375,0
124203,1,124302,3.208,0.0484,0.805,-0.039,0
124204,1,124303,2.119,0.0242,0.801,-0.036,0
124302,1,124401,2.7,0.0376,0.793,-0.0325,0
124303,1,124402,2.83,0.025,0.801,-0.0405,0
124401,1,124403,2.837,0.02,0.801,-0.038,0
124402,1,124404,3.378,0.0485,0.779,-0.0305,0
124403,1,124501,1.342,0.0746,0.803,-0.0375,0
124404,1,124502,3.922,0.039,0.798,-0.0405,0
124501,1,124504,1.853,0.0462,0.808,-0.034,0
124502,1,124601,4.175,0.0304,0.804,-0.0365,0
124504,1,124602,2.232,0.1746,0.8,-0.035,0
124601,1,124603,2.362,0.0606,0.802,-0.033,0
124602,1,124604,2.324,0.074,0.812,-0.0375,0
124603,1,124702,2.268,0.0454,0.803,-0.037,0
124604,1,124703,1.996,0.0416,0.798,-0.034,0
124702,1,124704,2.29,0.0468,0.81,-0.041,0
124703,1,124801,1.865,0.0774,0.805,-0.0335,0
124704,1,0,,,,,0
124801,1,0,,,,,0
124802,1,124804,2.998,0.0586,0.802,-0.0365,0
124804,1,124901,6.304,0.04,0.79,-0.0435,0
124901,1,0,,,,,0
